Brand,Product,Price,Description,Url
be quiet!,"
 Pure Rock Slim -prosessorijäähdytin
","29,00 
                                        ","Hiljaista ja kompaktia jäähdytystä! | 120W TDP | 92mm tuuletin  
                                        ",https://jimms.fi/fi/Product/Show/142269/bk008/be-quiet-pure-rock-slim-prosessorijaahdytin
Akasa,"
 Venom Medusa Prosessorijäähdytin (LGA775/115x/1200/1366/2011, AM2/AM3/FM1) (Poistotuote!)
","59,00 
                                        ",,https://jimms.fi/fi/Product/Show/78749/ak-cc4010hp01/akasa-venom-medusa-prosessorijaahdytin-lga775-115x-1200-1366-2011-am2-am3-fm1-poistotuote
SilverStone,"
 KR02, CPU-cooleri
","20,90 
                                        ","Prosessorisi tuottaa lämpöä. SilverStone hankkiutuu lämmöstä eroon.  
                                        ",https://jimms.fi/fi/Product/Show/152740/sst-kr02/silverstone-kr02-cpu-cooleri
be quiet!,"
 Dark Rock TF -prosessorijäähdytin
","89,90 
                                        ","Intel LGA 775/115x/1366/2011(-3) | AMD FM1/FM2(+)/AM2(+)/AM3(+)/AM4  
                                        ",https://jimms.fi/fi/Product/Show/131532/bk020/be-quiet-dark-rock-tf-prosessorijaahdytin
Raijintek,"
 JUNO X -prosessorijäähdytin, musta
","9,90 
                                        ","Pidä suorittimesi lämmöt kurissa Raijintekin avulla! | 92mm  
                                        ",https://jimms.fi/fi/Product/Show/140444/0r100060/raijintek-juno-x-prosessorijaahdytin-musta
Alpenföhn,"
 Brocken 3 -prosessorijäähdytin
","47,90 
                                        ","Pidä suorittimesi lämmöt aisoissa Alpenföhnin avustuksella! | 140mm  
                                        ",https://jimms.fi/fi/Product/Show/144868/84000000140/alpenfohn-brocken-3-prosessorijaahdytin
Alphacool,"
 GPU Heatsinks 7x7mm jäähdytyssiilit, 10kpl, musta
","4,50 
                                        ",,https://jimms.fi/fi/Product/Show/77399/alc17156/alphacool-gpu-heatsinks-7x7mm-jaahdytyssiilit-10kpl-musta
Enzotech,"
 Memory Ramsink BMR-C1L (BCC9)
","16,90 
                                        ",,https://jimms.fi/fi/Product/Show/55552/bmr-c1l/enzotech-memory-ramsink-bmr-c1l-bcc9
SilverStone,"
 Nitrogon Series NT09-115X -prosessorijäähdytin
","16,90 
                                        ","Yhteensopvia Intel LGA115x -kantojen kanssa!  
                                        ",https://jimms.fi/fi/Product/Show/122933/sst-nt09-115x/silverstone-nitrogon-series-nt09-115x-prosessorijaahdytin
Alpenföhn,"
 Brocken ECO Advanced -prosessorijäähdytin
","36,90 
                                        ","Pidä suorittimesi lämmöt aisoissa Alpenföhnin avustuksella! | 120mm  
                                        ",https://jimms.fi/fi/Product/Show/150006/84000000148/alpenfohn-brocken-eco-advanced-prosessorijaahdytin
Antec,"
 A40 Pro 92mm -prosessorijäähdytin, LGA 775/115x/1366/FM2(+)/FM1/AM3(+)/AM2(+)
","27,90 
                                        ",,https://jimms.fi/fi/Product/Show/131114/0-761345-10923-9/antec-a40-pro-92mm-prosessorijaahdytin-lga-775-115x-1366-fm2-fm1-am3-am2
