Brand,Product,Price,Description,Url
Gigabyte,"
 X570 AORUS ULTRA, ATX-emolevy
","299,00 
                                        ","AM4, AMD X570, 4 x DDR4, HDMI, 802.11ax + BT  
                                        ",https://jimms.fi/fi/Product/Show/152008/x570-aorus-ultra/gigabyte-x570-aorus-ultra-atx-emolevy
Asus,"
 ROG STRIX Z490-F GAMING, ATX-emolevy
","309,90 
                                        ","LGA1200, Intel Z490, 4 x DDR4  
                                        ",https://jimms.fi/fi/Product/Show/161667/rog-strix-z490-f-gaming/asus-rog-strix-z490-f-gaming-atx-emolevy
Asus,"
 ROG STRIX B550-I GAMING, Mini-ITX -emolevy
","229,90 
                                        ","AM4, AMD B550, 2 x DDR4, HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/162757/rog-strix-b550-i-gaming/asus-rog-strix-b550-i-gaming-mini-itx-emolevy
Gigabyte,"
 B550I AORUS PRO AX, Mini-ITX -emolevy
","199,00 
                                        ","AM4, AMD B550, 2 x DDR4, 2xHDMI/DP, 802.11ax + BT  
                                        ",https://jimms.fi/fi/Product/Show/162812/b550i-aorus-pro-ax/gigabyte-b550i-aorus-pro-ax-mini-itx-emolevy
Asus,"
 ROG STRIX Z390-F GAMING, ATX-emolevy
","229,90 
                                        ","LGA1151, Intel Z390, 4 x DDR4, HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/145185/90mb0yg0-m0eay0/asus-rog-strix-z390-f-gaming-atx-emolevy
MSI,"
 B450 GAMING PLUS MAX, ATX-emolevy (Tarjous! Norm. 114,90€)
","99,90 
                                        ","AM4, AMD B450, 4 x DDR4, DVI/HDMI  
                                        ",https://jimms.fi/fi/Product/Show/152771/b450-gaming-plus-max/msi-b450-gaming-plus-max-atx-emolevy-tarjous-norm-114_90
ASRock,"
 B550 Phantom Gaming 4, ATX-emolevy
","139,00 
                                        ","AM4, AMD B550, 4 x DDR4, HDMI  
                                        ",https://jimms.fi/fi/Product/Show/162824/b550-phantom-gaming-4/asrock-b550-phantom-gaming-4-atx-emolevy
Gigabyte,"
 B550 AORUS ELITE, ATX-emolevy
","149,00 
                                        ","AM4, AMD B550, 4 x DDR4, HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/162813/b550-aorus-elite/gigabyte-b550-aorus-elite-atx-emolevy
MSI,"
 Z390-A PRO, ATX-emolevy
","133,00 
                                        ","LGA1151, Intel Z390, 4 x DDR4, VGA/DVI/DP  
                                        ",https://jimms.fi/fi/Product/Show/145228/z390-a-pro/msi-z390-a-pro-atx-emolevy
Asus,"
 TUF B360-PLUS GAMING, ATX-emolevy
","94,90 
                                        ","LGA1151, Intel B360, 4 x DDR4, VGA/HDMI  
                                        ",https://jimms.fi/fi/Product/Show/140039/tuf-b360-plus-gaming/asus-tuf-b360-plus-gaming-atx-emolevy
