Product,Price,Description,Url
"
G.Skill 32GB (2 x 16GB) Sniper X, DDR4 3200MHz, CL16, 1.35V, harmaa/camo
","146,00 
                                        ","Muistien täsmäisku!  
                                        ",jimms.fi/fi/Product/Show/151529/f4-3200c16d-32gsxfb/g-skill-32gb-2-x-16gb-sniper-x-ddr4-3200mhz-cl16-1_35v-harmaa-camo
"
G.Skill 32GB (2 x 16GB) Trident Z RGB, DDR4 3600MHz, CL17, 1.35V
","192,00 
                                        ","Näyttävä RGB-valaistu muistikitti!  
                                        ",jimms.fi/fi/Product/Show/127093/f4-3600c17d-32gtzr/g-skill-32gb-2-x-16gb-trident-z-rgb-ddr4-3600mhz-cl17-1_35v
"
Kingston 8GB (1 x 8GB) HyperX Impact, DDR4 SODIMM 260-pin, 2666MHz, CL15, 1.2V
","39,00 
                                        ",,jimms.fi/fi/Product/Show/126559/hx426s15ib2-8/kingston-8gb-1-x-8gb-hyperx-impact-ddr4-sodimm-260-pin-2666mhz-cl15-1_2v
"
G.Skill 32GB (4 x 8GB) Trident Z RGB, DDR4 3200MHz, CL16, 1.35V
","239,00 
                                        ","Näyttävä RGB-valaistu muistikitti!  
                                        ",jimms.fi/fi/Product/Show/127090/f4-3200c16q-32gtzr/g-skill-32gb-4-x-8gb-trident-z-rgb-ddr4-3200mhz-cl16-1_35v
"
G.Skill 32GB (2 x 16GB) Ripjaws V, DDR4 3600MHz, CL18, 1.35V, musta
","151,00 
                                        ","Tunne Ripjaws V -sarjan vauhti!  
                                        ",jimms.fi/fi/Product/Show/164431/f4-3600c18d-32gvk/g-skill-32gb-2-x-16gb-ripjaws-v-ddr4-3600mhz-cl18-1_35v-musta
"
Kingston 8GB DDR3L 1600MHz, SO-DIMM, CL11, 1.35V
","46,00 
                                        ",,jimms.fi/fi/Product/Show/82579/kvr16ls11-8/kingston-8gb-ddr3l-1600mhz-so-dimm-cl11-1_35v
"
G.Skill 32GB (2 x 16GB) Ripjaws V, DDR4 3200MHz, CL14, 1.35V, musta
","225,00 
                                        ","Tunne Ripjaws V -sarjan vauhti!  
                                        ",jimms.fi/fi/Product/Show/136086/f4-3200c14d-32gvk/g-skill-32gb-2-x-16gb-ripjaws-v-ddr4-3200mhz-cl14-1_35v-musta
"
Corsair 8GB (1 x 8GB), DDR3 1600MHz, CL11, 1.5V
","40,00 
                                        ",,jimms.fi/fi/Product/Show/80528/cmv8gx3m1a1600c11/corsair-8gb-1-x-8gb-ddr3-1600mhz-cl11-1_5v
"
Kingston 16GB (1 x 16GB) HyperX Impact, DDR4 SODIMM 260-pin, 2666MHz, CL15, 1.2V
","71,00 
                                        ",,jimms.fi/fi/Product/Show/126560/hx426s15ib2-16/kingston-16gb-1-x-16gb-hyperx-impact-ddr4-sodimm-260-pin-2666mhz-cl15-1_2v
"
Corsair 16GB (2 x 8GB) Vengeance LPX, DDR4 2666MHz, CL16, 1.35V, musta
","85,00 
                                        ","Muistipuoli kuntoon Corsairin avulla!  
                                        ",jimms.fi/fi/Product/Show/160080/cmk16gx4m2a2666c16/corsair-16gb-2-x-8gb-vengeance-lpx-ddr4-2666mhz-cl16-1_35v-musta
"
G.Skill 16GB (2 x 8GB) Trident Z RGB, DDR4 3200MHz, CL14, 1.35V
","155,00 
                                        ","Näyttävä RGB-valaistu muistikitti!  
                                        ",jimms.fi/fi/Product/Show/127079/f4-3200c14d-16gtzr/g-skill-16gb-2-x-8gb-trident-z-rgb-ddr4-3200mhz-cl14-1_35v
"
Corsair 64GB (4 x 16GB) Vengeance LPX, DDR4 3200MHz, CL16, 1.35V, musta
","291,00 
                                        ","Muistipuoli kuntoon Corsairin avulla!  
                                        ",jimms.fi/fi/Product/Show/141872/cmk64gx4m4c3200c16/corsair-64gb-4-x-16gb-vengeance-lpx-ddr4-3200mhz-cl16-1_35v-musta
"
Kingston 16GB (2 x 8GB) HyperX Impact, DDR4 SODIMM 260-pin, 2666MHz, CL15, 1.2V
","73,00 
                                        ",,jimms.fi/fi/Product/Show/126564/hx426s15ib2k2-16/kingston-16gb-2-x-8gb-hyperx-impact-ddr4-sodimm-260-pin-2666mhz-cl15-1_2v
"
Corsair 32GB (2 x 16GB) Vengeance RGB Pro, DDR4 3600MHz, CL18, 1.35V, musta
","168,00 
                                        ","Tyrmäävä RGB-valaisu, iskevä design ja ylivertainen ylikellotus samassa paketissa!  
                                        ",jimms.fi/fi/Product/Show/160094/cmw32gx4m2z3600c18/corsair-32gb-2-x-16gb-vengeance-rgb-pro-ddr4-3600mhz-cl18-1_35v-musta
"
Kingston 4GB DDR3L 1600MHz, SO-DIMM, CL11, 1.35V
","23,00 
                                        ",,jimms.fi/fi/Product/Show/84143/kvr16ls11-4/kingston-4gb-ddr3l-1600mhz-so-dimm-cl11-1_35v
"
Corsair 8GB (2x4GB), Vengeance LPX, DDR4 2400 MHz, CL16
","46,00 
                                        ",,jimms.fi/fi/Product/Show/117594/cmk8gx4m2a2400c16/corsair-8gb-2x4gb-vengeance-lpx-ddr4-2400-mhz-cl16
"
G.Skill 16GB (2 x 8GB) FORTIS (for AMD), DDR4 2400 MHz, CL16, 1.20V
","68,00 
                                        ","Suunniteltu pelaamiseen AMD Ryzen -prosessorien kanssa!  
                                        ",jimms.fi/fi/Product/Show/128672/f4-2400c16d-16gft/g-skill-16gb-2-x-8gb-fortis-for-amd-ddr4-2400-mhz-cl16-1_20v
"
Corsair 8GB (1x8GB) Memory, SO-DIMM DDR4 2133MHz, CL15, 1,20V, musta
","40,00 
                                        ",,jimms.fi/fi/Product/Show/132233/cmso8gx4m1a2133c15/corsair-8gb-1x8gb-memory-so-dimm-ddr4-2133mhz-cl15-1_20v-musta
"
Corsair 8GB (1 x 8GB) Vengeance LPX, DDR4 2400 MHz, CL16, 1.2V
","42,00 
                                        ",,jimms.fi/fi/Product/Show/138636/cmk8gx4m1a2400c16/corsair-8gb-1-x-8gb-vengeance-lpx-ddr4-2400-mhz-cl16-1_2v
"
Corsair 32GB (4 x 8GB) Vengeance LPX, DDR4 3200MHz, CL16, 1.35V, musta
","170,00 
                                        ","Muistipuoli kuntoon Corsairin avulla!  
                                        ",jimms.fi/fi/Product/Show/160084/cmk32gx4m4b3200c16/corsair-32gb-4-x-8gb-vengeance-lpx-ddr4-3200mhz-cl16-1_35v-musta
"
Corsair 32GB (2 x 16GB) Vengeance RGB PRO, DDR4 3600MHz, CL18, 1.35V, musta
","173,00 
                                        ","Tyrmäävä RGB-valaisu, iskevä design ja ylivertainen ylikellotus samassa paketissa!  
                                        ",jimms.fi/fi/Product/Show/158403/cmw32gx4m2d3600c18/corsair-32gb-2-x-16gb-vengeance-rgb-pro-ddr4-3600mhz-cl18-1_35v-musta
"
Corsair 32GB (4 x 8GB) Vengeance RGB PRO, DDR4 3200MHz, CL16, 1.35V, valkoinen
","196,00 
                                        ","Tyrmäävä RGB-valaisu, iskevä design ja ylivertainen ylikellotus samassa paketissa!  
                                        ",jimms.fi/fi/Product/Show/142701/cmw32gx4m4c3200c16w/corsair-32gb-4-x-8gb-vengeance-rgb-pro-ddr4-3200mhz-cl16-1_35v-valkoinen
