Product,Price,Description,Url
"
Kolink Satellite, mATX -kotelo, musta
","34,90 
                                        ","Kokoistaan suurempi pikkukotelo!  
                                        ",jimms.fi/fi/Product/Show/140003/satellite/kolink-satellite-matx-kotelo-musta
"
Fractal Design Focus G Mini, ikkunallinen mATX -kotelo, musta
","56,90 
                                        ","Ajattoman tyylikäs Focus G Mini -koteloperhe tarjoaa komponenteillesi verrattoman kodin!  
                                        ",jimms.fi/fi/Product/Show/132110/fd-ca-focus-mini-bk-w/fractal-design-focus-g-mini-ikkunallinen-matx-kotelo-musta
"
Fractal Design Meshify C - TG, ikkunallinen ATX-miditornikotelo, musta
","99,90 
                                        ","Agressiivinen poseeraus Fractal Designin kotelolinjastoon! | Karkaistusta lasista valmistettu sivupaneeli  
                                        ",jimms.fi/fi/Product/Show/138975/fd-ca-mesh-c-bko-tgl/fractal-design-meshify-c-tg-ikkunallinen-atx-miditornikotelo-musta
"
Kolink Inspire K1, ikkunallinen ATX-kotelo, musta
","52,90 
                                        ","Innostava kotelovaihtoehto!  
                                        ",jimms.fi/fi/Product/Show/147308/inspire-k1/kolink-inspire-k1-ikkunallinen-atx-kotelo-musta
"
Asus TUF Gaming GT501, ikkunallinen E-ATX -kotelo, musta
","149,90 
                                        ","Mis sie oot TUFfia koteloa vaille - täs siul o sellane!  
                                        ",jimms.fi/fi/Product/Show/147560/90dc0012-b49000/asus-tuf-gaming-gt501-ikkunallinen-e-atx-kotelo-musta
"
Asus ROG Strix Helios, ikkunallinen E-ATX -miditornikotelo, musta
","299,00 
                                        ","Näyttävä kotelovaihtoehto esim. pelaajille ja ROG Strix -faneille! | reddot award 2019 -voittaja!  
                                        ",jimms.fi/fi/Product/Show/150753/90dc0020-b39000/asus-rog-strix-helios-ikkunallinen-e-atx-miditornikotelo-musta
"
Kolink KLA-002, ATX-miditornikotelo, musta
","34,90 
                                        ","Perusvarma kotelovalinta ilman turhia krumeluureja!  
                                        ",jimms.fi/fi/Product/Show/147309/kla-002/kolink-kla-002-atx-miditornikotelo-musta
"
BitFenix Nova, ATX-miditornikotelo, musta
","37,90 
                                        ",,jimms.fi/fi/Product/Show/115986/bfx-nov-100-kkxsk-rp/bitfenix-nova-atx-miditornikotelo-musta
"
BitFenix Dawn TG, ikkunallinen E-ATX -miditornikotelo, musta
","114,90 
                                        ","PC-kokoonpanojen renessanssi on täällä - Dawn TG!  
                                        ",jimms.fi/fi/Product/Show/157471/bfc-daw-500-kkgsk-rp/bitfenix-dawn-tg-ikkunallinen-e-atx-miditornikotelo-musta
"
Corsair 4000X RGB, ikkunallinen miditornikotelo, musta
","114,90 
                                        ","Suorituskykyinen ja näyttävä kotelovalinta!  
                                        ",jimms.fi/fi/Product/Show/164673/cc-9011204-ww/corsair-4000x-rgb-ikkunallinen-miditornikotelo-musta
